Application ID,Application Type,Customer ID,Group Name ID,Action,RM ID,Entered Date,Closed Date,Next Review Date,Product ID,Start Date,Term (mths),Expiry Date,Rate Applied,Margin Agreed,Capital,Annual Interest Income,Collateral Start Date,Collateral Type,Face Value,Conversion Factor,Rating,Limits Rating,Expected Loss,Covenants,Covenant Type,Application Error
ID1130,Dealer,IFR160,GRP514,Existing,RM2037,2015-06-07,2015-10-05,2016-10-04,PRD002,2015-10-05,12,2016-10-05,2.07,0.41,1500000,37200.0,2005-06-17,Fixed and Floating Company Charge,5500000,0.75,4,5,300000.0,Reporting,Extended,No Error
ID1427,Dealer,IFR107,GRP502,New,RM2038,2015-06-07,2015-07-06,2016-07-05,PRD016,2015-07-06,6,2016-01-05,2.12,0.43,3960000,100980.0,2008-02-25,Bill of Sale over a Post Office licence,11400000,0.8,4,12,330000.0,Conditions Precedent,Extended,No Error
ID1129,Dealer,IFR165,GRP514,Existing,RM2005,2015-06-09,2015-09-06,2016-09-05,PRD016,2015-09-06,48,2019-09-09,2.8,0.26,5910000,180845.99999999997,2010-11-07,Mortgage over a lease,6300000,0.75,3,2,2955000.0,Financial,Extended,No Error
ID1174,Corporate,IFR130,GRP516,New,RM2032,2015-06-11,2015-09-10,2016-09-09,PRD019,2015-09-10,12,2016-09-10,1.87,0.29,800000,17280.0,2006-03-12,Gold Deposit,8400000,0.4,2,6,133333.33333333334,Reporting,Complied,No Error
ID1171,Dealer,IFR157,GRP515,New,RM2008,2015-06-12,2015-08-15,2016-08-14,PRD018,2015-08-15,24,2017-08-16,3.12,0.36,3870000,134676.0,2008-09-05,Bill of Sale over specific business assets,4800000,1.0,4,6,645000.0,Reporting,Extended,No Error
ID1490,Dealer,IFR179,GRP500,Review,RM2030,2015-06-13,2015-10-03,2016-10-02,PRD005,2015-10-03,24,2017-10-04,3.61,0.41,6670000,268133.99999999994,2013-08-07,Limited Guarantee and Indemnity (unsupported),5600000,0.75,1,6,1111666.6666666667,Reporting,Extended,No Error
ID1004,Commercial,IFR139,GRP500,Existing,RM2016,2015-06-14,2015-09-14,2016-09-13,PRD016,2015-09-14,24,2017-09-15,1.86,0.39,3360000,75600.0,2002-05-12,Limited Guarantee and Indemnity (unsupported),23700000,1.0,6,4,840000.0,Financial,Extended,No Error
ID1296,Dealer,IFR165,GRP514,Existing,RM2029,2015-06-17,2015-07-04,2016-07-03,PRD002,2015-07-04,12,2016-07-04,3.01,0.39,6440000,218960.00000000003,2010-11-07,Transfer of Mortgage over a Lease,11100000,1.0,3,6,1073333.3333333333,Reporting,Complied,No Error
ID1327,Dealer,IFR182,GRP518,New,RM2038,2015-06-17,2015-08-31,2016-08-30,PRD009,2015-08-31,24,2017-09-01,1.77,0.24,2030000,40802.99999999999,2010-05-26,Bill of Sale over specific business assets,14300000,1.0,2,5,406000.0,Reporting,Complied,No Error
ID1468,Dealer,IFR101,GRP504,New,RM2019,2015-06-17,2015-07-16,2016-07-15,PRD008,2015-07-16,12,2016-07-16,1.72,0.44,3850000,83160.0,2013-12-12,Fixed and Floating Charge (Cashflow lending),13300000,0.75,5,7,550000.0,Reporting,Breached,No Error
ID1419,Property Development,IFR134,GRP501,Existing,RM2014,2015-06-19,2015-07-28,2016-07-27,PRD006,2015-07-28,12,2016-07-28,2.99,0.19,6940000,220692.0,2010-07-10,Fixed Company Charge,12300000,0.75,6,6,1156666.6666666667,Reporting,Complied,No Error
ID1315,Commercial,IFR192,GRP502,New,RM2032,2015-06-21,2015-08-25,2016-08-24,PRD005,2015-08-25,6,2016-02-24,3.27,0.35,2080000,75296.0,2007-03-14,Crop Lien,21700000,1.0,2,4,520000.0,Financial,Complied,Error
ID1331,Dealer,IFR127,GRP517,New,RM2030,2015-06-21,2015-07-20,2016-07-19,PRD008,2015-07-20,24,2017-07-21,1.7,0.25,4040000,78780.0,2005-12-03,Commercial Property,18400000,0.8,5,11,367272.7272727273,Conditions Precedent,Breached,No Error
ID1205,Dealer,IFR166,GRP500,Existing,RM2013,2015-06-24,2015-07-30,2016-07-29,PRD005,2015-07-30,48,2019-08-02,3.23,0.12,1160000,38860.0,2008-07-09,Limited Guarantee and Indemnity (supported),14900000,0.5,3,7,165714.2857142857,Reporting,Extended,No Error
ID1339,Dealer,IFR196,GRP500,New,RM2020,2015-06-27,2015-10-12,2016-10-11,PRD010,2015-10-12,24,2017-10-13,2.75,0.4,3450000,108675.0,2005-05-09,Bill of Sale over specific business assets,13500000,1.0,3,6,575000.0,Reporting,Complied,No Error
ID1459,Commercial,IFR134,GRP501,New,RM2033,2015-06-27,2015-11-03,2016-11-02,PRD002,2015-11-03,12,2016-11-03,2.56,0.3,1430000,40898.0,2010-07-10,Stock Mortgage,18800000,0.75,6,6,238333.33333333334,Reporting,Complied,No Error
ID1133,Dealer,IFR167,GRP516,Existing,RM2015,2015-06-28,2015-09-13,2016-09-12,PRD003,2015-09-13,24,2017-09-14,2.24,0.4,1230000,32472.0,2014-01-24,Fixed Company Charge,15900000,1.0,5,3,410000.0,Financial,Extended,No Error
ID1154,Commercial,IFR123,GRP520,Straight,RM2020,2015-06-28,2015-10-24,2016-10-23,PRD013,2015-10-24,12,2016-10-24,2.6,0.34,4390000,129066.0,2011-01-20,Mortgage over life insurance,14900000,0.7,4,9,487777.77777777775,Conditions Subsequent,Extended,No Error
ID1310,Dealer,IFR102,GRP512,Straight,RM2001,2015-06-30,2015-10-07,2016-10-06,PRD013,2015-10-07,24,2017-10-08,3.39,0.37,5610000,210936.0,2013-03-21,Fixed and Floating Charge (Cashflow lending),3100000,1.0,3,6,935000.0,Reporting,Extended,No Error
ID1140,Dealer,IFR193,GRP516,Existing,RM2030,2015-07-02,2015-09-09,2016-09-08,PRD011,2015-09-09,24,2017-09-10,1.93,0.15,730000,15184.0,2013-07-19,Ships Mortgage,20700000,0.75,5,8,91250.0,Conditions Subsequent,Complied,No Error
ID1113,Dealer,IFR162,GRP514,New,RM2017,2015-07-04,2015-07-22,2016-07-21,PRD005,2015-07-22,6,2016-01-21,2.65,0.4,4980000,151890.0,2005-04-01,Transfer of Mortgage over Real Property,23000000,0.7,4,7,711428.5714285715,Reporting,Complied,No Error
ID1347,Dealer,IFR199,GRP514,Existing,RM2000,2015-07-04,2015-08-06,2016-08-05,PRD011,2015-08-06,6,2016-02-05,1.51,0.36,5620000,105094.00000000001,2011-11-07,Bill of Sale over business assets,20900000,0.75,6,9,624444.4444444445,Conditions Subsequent,Breached,No Error
ID1149,Corporate,IFR120,GRP500,Existing,RM2001,2015-07-05,2015-08-06,2016-08-05,PRD007,2015-08-06,24,2017-08-07,1.84,0.46,5340000,122820.00000000001,2013-09-16,Tripartite Deed/Agreement,20400000,1.0,5,1,5340000.0,Financial,Non Waiver,No Error
ID1213,Dealer,IFR102,GRP512,Review,RM2008,2015-07-05,2015-09-29,2016-09-28,PRD008,2015-09-29,6,2016-03-30,2.39,0.36,1170000,32175.0,2013-03-21,Limited Cross Guarantee and Indemnity (supported),9900000,0.75,6,4,292500.0,Reporting,Extended,No Error
ID1373,Dealer,IFR162,GRP514,New,RM2027,2015-07-06,2015-08-07,2016-08-06,PRD008,2015-08-07,12,2016-08-07,1.89,0.39,1420000,32375.999999999996,2005-04-01,Collateral Type Desc,16000000,0.75,3,3,473333.3333333333,Financial,Complied,Error
ID1481,Commercial,IFR160,GRP514,Straight,RM2009,2015-07-06,2015-11-01,2016-10-31,PRD003,2015-11-01,6,2016-05-02,3.24,0.12,3780000,127008.00000000001,2005-06-17,Tripartite Deed/Agreement,19500000,1.0,3,3,1260000.0,Financial,Breached,No Error
ID1073,Property Development,IFR185,GRP520,New,RM2019,2015-07-11,2015-11-13,2016-11-12,PRD008,2015-11-13,36,2018-11-15,2.01,0.26,2920000,66283.99999999999,2003-04-10,Mortgage over Real Property (Commercial),9800000,0.75,3,5,584000.0,Reporting,Breached,No Error
ID1120,Commercial,IFR162,GRP514,Existing,RM2028,2015-07-11,2015-08-20,2016-08-19,PRD001,2015-08-20,12,2016-08-20,2.96,0.4,900000,30239.999999999996,2005-04-01,Transfer of Mortgage over Real Property,16100000,0.7,4,3,300000.0,Financial,Extended,No Error
ID1253,Property Development,IFR138,GRP514,Existing,RM2025,2015-07-12,2015-09-15,2016-09-14,PRD020,2015-09-15,60,2020-09-18,3.03,0.3,2240000,74591.99999999999,2001-12-02,Limited Guarantee and Indemnity (supported),10400000,0.75,1,1,2240000.0,Financial,Complied,Error
ID1424,Commercial,IFR139,GRP500,New,RM2016,2015-07-14,2015-09-19,2016-09-18,PRD004,2015-09-19,60,2020-09-22,3.25,0.2,2140000,73830.0,2002-05-12,Mortgage over a lease,10000000,1.0,4,6,356666.6666666667,Reporting,Extended,Error
ID1465,Property Development,IFR190,GRP502,Existing,RM2007,2015-07-14,2015-10-15,2016-10-14,PRD005,2015-10-15,48,2019-10-18,1.89,0.23,2070000,43884.0,2011-10-22,Limited Cross Guarantee and Indemnity (supported),22000000,1.0,2,7,295714.28571428574,Reporting,Extended,No Error
ID1267,Property Development,IFR117,GRP501,Existing,RM2003,2015-07-16,2015-10-23,2016-10-22,PRD009,2015-10-23,12,2016-10-23,2.01,0.45,800000,19680.0,2015-11-17,Crop Lien,11700000,0.8,2,7,114285.71428571429,Reporting,Complied,No Error
ID1165,Dealer,IFR128,GRP514,Existing,RM2035,2015-07-18,2015-10-29,2016-10-28,PRD007,2015-10-29,24,2017-10-30,1.85,0.23,3740000,77792.0,2011-05-08,Limited Cross Guarantee and Indemnity (supported),11300000,0.5,1,9,415555.55555555556,Conditions Subsequent,Complied,No Error
ID1208,Dealer,IFR189,GRP500,Existing,RM2036,2015-07-18,2015-09-01,2016-08-31,PRD009,2015-09-01,6,2016-03-02,3.31,0.49,2880000,109440.0,2002-06-19,Gold Deposit,5600000,0.8,5,3,960000.0,Financial,Complied,No Error
ID1377,Dealer,IFR141,GRP514,Existing,RM2038,2015-07-20,2015-11-26,2016-11-25,PRD019,2015-11-26,12,2016-11-26,2.97,0.28,2660000,86450.0,2003-09-05,Mortgage over Real Property (Commercial),11000000,1.0,4,4,665000.0,Reporting,Extended,Error
ID1247,Dealer,IFR155,GRP514,Existing,RM2010,2015-07-22,2015-09-23,2016-09-22,PRD010,2015-09-23,24,2017-09-24,3.09,0.37,6840000,236664.0,2006-07-12,Cash and Cash E,7300000,0.75,1,8,855000.0,Reporting,Complied,No Error
ID1122,Dealer,IFR104,GRP502,Review,RM2002,2015-07-23,2015-10-21,2016-10-20,PRD016,2015-10-21,48,2019-10-24,2.94,0.27,270000,8666.999999999998,2010-12-05,Mortgage over Real Property (Commercial),20100000,0.7,5,6,45000.0,Reporting,Complied,Error
ID1240,Dealer,IFR134,GRP501,New,RM2004,2015-07-23,2015-08-15,2016-08-14,PRD006,2015-08-15,12,2016-08-15,2.96,0.49,5420000,186990.00000000003,2010-07-10,Mortgage over life insurance,2300000,1.0,1,6,903333.3333333334,Reporting,Extended,No Error
ID1369,Commercial,IFR195,GRP517,Review,RM2010,2015-07-23,2015-11-20,2016-11-19,PRD013,2015-11-20,24,2017-11-21,2.07,0.35,520000,12584.0,2009-04-25,Gold Deposit,9100000,1.0,6,4,130000.0,Financial,Complied,No Error
ID1420,Commercial,IFR183,GRP514,New,RM2030,2015-07-23,2015-08-20,2016-08-19,PRD009,2015-08-20,6,2016-02-19,3.72,0.36,3790000,154632.0,2011-07-11,Unregistered Mortgage over an unregistered lease,14500000,0.7,6,8,473750.0,Conditions Subsequent,Extended,No Error
ID1039,Dealer,IFR162,GRP514,Existing,RM2012,2015-07-26,2015-11-04,2016-11-03,PRD018,2015-11-04,48,2019-11-07,2.17,0.27,5480000,133712.0,2005-04-01,Mortgage over Real Property (Residential),9400000,0.75,5,10,548000.0,Conditions Precedent,Breached,No Error
ID1279,Commercial,IFR103,GRP505,New,RM2012,2015-07-26,2015-11-28,2016-11-27,PRD004,2015-11-28,24,2017-11-29,2.8,0.36,3340000,105543.99999999999,2005-04-29,Collateral Type Desc,17600000,0.75,3,6,556666.6666666666,Reporting,Complied,No Error
ID1077,Commercial,IFR186,GRP502,Existing,RM2024,2015-07-28,2015-09-16,2016-09-15,PRD015,2015-09-16,60,2020-09-19,1.9,0.43,1910000,44503.0,2002-04-13,Residential Property,17800000,0.75,5,3,636666.6666666666,Financial,Complied,Error
ID1042,Dealer,IFR116,GRP517,New,RM2023,2015-07-30,2015-09-25,2016-09-24,PRD019,2015-09-25,36,2018-09-27,3.0,0.45,4170000,143865.0,2002-07-12,General Mortgage/Lien,17800000,0.75,4,8,521250.0,Conditions Subsequent,Complied,No Error
ID1437,Dealer,IFR155,GRP514,Existing,RM2039,2015-07-31,2015-08-27,2016-08-26,PRD006,2015-08-27,24,2017-08-28,1.91,0.48,5660000,135274.0,2006-07-12,Ships Mortgage,5700000,0.75,4,6,943333.3333333334,Reporting,Non Waiver,No Error
ID1143,Dealer,IFR154,GRP514,Review,RM2020,2015-08-02,2015-09-08,2016-09-07,PRD003,2015-09-08,12,2016-09-08,1.93,0.39,2130000,49416.0,2007-03-26,Mortgage over Real Property (Residential),6400000,0.4,3,6,355000.0,Reporting,Complied,No Error
ID1201,Dealer,IFR106,GRP507,New,RM2004,2015-08-04,2015-12-08,2016-12-07,PRD012,2015-12-08,48,2019-12-11,2.25,0.18,6040000,146772.0,2002-01-12,Mortgage over life insurance,15900000,1.0,5,6,1006666.6666666666,Reporting,Extended,No Error
ID1500,Corporate,IFR169,GRP517,Review,RM2022,2015-08-06,2015-11-04,2016-11-03,PRD017,2015-11-04,6,2016-05-05,3.64,0.39,530000,21359.0,2001-12-16,Commercial Property,2200000,0.75,6,4,132500.0,Reporting,Complied,No Error
ID1191,Dealer,IFR196,GRP500,Straight,RM2016,2015-08-09,2015-11-27,2016-11-26,PRD010,2015-11-27,24,2017-11-28,2.87,0.4,3340000,109218.0,2005-05-09,Fixed Company Charge,3700000,0.4,3,5,668000.0,Reporting,Extended,No Error
ID1295,Commercial,IFR183,GRP514,Existing,RM2017,2015-08-10,2015-12-10,2016-12-09,PRD019,2015-12-10,60,2020-12-13,1.64,0.21,3310000,61235.0,2011-07-11,Transfer of Mortgage over a Lease,5200000,0.8,1,3,1103333.3333333333,Financial,Complied,No Error
ID1049,Commercial,IFR195,GRP517,New,RM2037,2015-08-11,2015-12-03,2016-12-02,PRD001,2015-12-03,6,2016-06-03,1.69,0.43,2710000,57452.0,2009-04-25,Fixed Company Charge,23500000,0.75,1,7,387142.85714285716,Reporting,Extended,No Error
ID1044,Dealer,IFR122,GRP511,New,RM2002,2015-08-16,2015-09-23,2016-09-22,PRD004,2015-09-23,36,2018-09-25,3.6,0.31,5920000,231472.00000000003,2009-09-26,Fixed Company Charge,21800000,0.75,3,4,1480000.0,Reporting,Complied,No Error
ID1439,Property Development,IFR184,GRP517,Review,RM2003,2015-08-16,2015-12-18,2016-12-17,PRD005,2015-12-18,12,2016-12-18,3.31,0.12,1040000,35672.00000000001,2014-11-23,Mortgage over Real Property (Industrial),8400000,1.0,4,10,104000.0,Conditions Precedent,Complied,No Error
ID1409,Dealer,IFR142,GRP519,New,RM2014,2015-08-17,2015-09-26,2016-09-25,PRD020,2015-09-26,12,2016-09-26,3.52,0.23,4610000,172875.0,2016-09-06,Traded Equities,14200000,0.75,2,3,1536666.6666666667,Financial,Complied,No Error
ID1399,Corporate,IFR191,GRP500,Existing,RM2004,2015-08-19,2015-10-09,2016-10-08,PRD006,2015-10-09,24,2017-10-10,3.56,0.48,6050000,244420.0,2014-08-21,Residential Property,11000000,0.8,6,6,1008333.3333333334,Reporting,Breached,No Error
ID1153,Dealer,IFR121,GRP500,Existing,RM2013,2015-08-20,2015-09-25,2016-09-24,PRD006,2015-09-25,12,2016-09-25,2.01,0.35,1470000,34692.0,2003-10-21,Gold Deposit,2800000,0.75,4,5,294000.0,Reporting,Breached,Error
ID1199,Property Development,IFR138,GRP514,New,RM2025,2015-08-21,2015-09-21,2016-09-20,PRD007,2015-09-21,24,2017-09-22,2.04,0.4,3950000,96379.99999999999,2001-12-02,Bank Guarantee by Australian Financial Institution,7400000,0.75,6,10,395000.0,Conditions Subsequent,Breached,No Error
ID1237,Dealer,IFR159,GRP502,Existing,RM2037,2015-08-22,2015-11-18,2016-11-17,PRD007,2015-11-18,6,2016-05-19,2.33,0.45,3320000,92296.0,2010-11-23,Crop Lien,9100000,0.75,4,8,415000.0,Conditions Subsequent,Complied,No Error
ID1453,Dealer,IFR174,GRP511,Straight,RM2038,2015-08-23,2015-10-20,2016-10-19,PRD017,2015-10-20,12,2016-10-20,1.96,0.23,1790000,39201.0,2006-01-23,Unregistered Mortgage over an unregistered lease,13900000,0.4,1,5,358000.0,Reporting,Complied,No Error
ID1055,Dealer,IFR113,GRP516,Existing,RM2019,2015-08-24,2015-11-19,2016-11-18,PRD015,2015-11-19,24,2017-11-20,3.68,0.36,5850000,236340.0,2009-03-15,Bill of Sale over business assets,19000000,0.75,2,7,835714.2857142857,Reporting,Complied,No Error
ID1046,Commercial,IFR164,GRP517,Existing,RM2039,2015-08-25,2015-09-12,2016-09-11,PRD008,2015-09-12,12,2016-09-12,2.81,0.28,6350000,196214.99999999997,2015-09-20,Mortgage over Real Property (Residential),8400000,1.0,5,5,1270000.0,Reporting,Complied,No Error
ID1066,Dealer,IFR195,GRP517,Existing,RM2033,2015-08-25,2015-10-29,2016-10-28,PRD012,2015-10-29,12,2016-10-29,1.78,0.13,3930000,75063.00000000001,2009-04-25,Gold Deposit,5800000,0.4,1,3,1310000.0,Financial,Extended,No Error
ID1203,Dealer,IFR171,GRP520,Existing,RM2001,2015-08-27,2015-11-30,2016-11-29,PRD002,2015-11-30,24,2017-12-01,3.59,0.12,3680000,136528.0,2004-08-22,Traded Equities,23800000,0.75,5,2,1840000.0,Financial,Extended,No Error
ID1492,Dealer,IFR185,GRP520,New,RM2032,2015-08-28,2015-09-21,2016-09-20,PRD014,2015-09-21,24,2017-09-22,3.05,0.2,3730000,121225.0,2003-04-10,Gold Deposit,16000000,0.75,6,5,746000.0,Reporting,Non Waiver,Error
ID1291,Commercial,IFR135,GRP502,Review,RM2027,2015-08-29,2015-10-29,2016-10-28,PRD014,2015-10-29,12,2016-10-29,3.01,0.25,5070000,165281.99999999997,2016-08-27,Fixed and Floating Charge (Cashflow lending),13300000,1.0,4,9,563333.3333333334,Conditions Subsequent,Extended,No Error
ID1301,Corporate,IFR110,GRP505,Straight,RM2033,2015-08-29,2015-10-29,2016-10-28,PRD009,2015-10-29,24,2017-10-30,3.21,0.14,2210000,74035.0,2010-05-19,Mortgage over life insurance,7400000,1.0,4,5,442000.0,Reporting,Breached,No Error
ID1057,Property Development,IFR140,GRP507,New,RM2000,2015-08-31,2015-12-09,2016-12-08,PRD017,2015-12-09,12,2016-12-09,2.12,0.13,1830000,41175.0,2008-03-15,Limited Guarantee and Indemnity (unsupported),12400000,0.4,4,5,366000.0,Reporting,Extended,No Error
ID1124,Dealer,IFR128,GRP514,New,RM2005,2015-08-31,2015-11-24,2016-11-23,PRD009,2015-11-24,24,2017-11-25,2.25,0.2,1330000,32585.0,2011-05-08,Tripartite Deed/Agreement,9100000,1.0,1,6,221666.66666666666,Reporting,Complied,No Error
ID1128,Property Development,IFR166,GRP500,New,RM2001,2015-08-31,2015-12-21,2016-12-20,PRD009,2015-12-21,12,2016-12-21,2.3,0.5,1350000,37799.99999999999,2008-07-09,Cash and Cash E,2800000,0.75,1,5,270000.0,Reporting,Non Waiver,No Error
ID1278,Dealer,IFR157,GRP515,Existing,RM2037,2015-09-02,2015-09-22,2016-09-21,PRD003,2015-09-22,24,2017-09-23,3.25,0.36,200000,7220.0,2008-09-05,Cash and Cash E,18700000,0.75,3,5,40000.0,Reporting,Complied,No Error
ID1096,Dealer,IFR122,GRP511,Straight,RM2019,2015-09-07,2015-10-15,2016-10-14,PRD015,2015-10-15,24,2017-10-16,2.79,0.19,350000,10430.0,2009-09-26,Limited Guarantee and Indemnity (supported),9400000,1.0,2,2,175000.0,Financial,Extended,No Error
ID1028,Commercial,IFR118,GRP514,New,RM2034,2015-09-10,2015-11-30,2016-11-29,PRD014,2015-11-30,24,2017-12-01,3.03,0.31,5730000,191382.0,2002-06-14,Tripartite Deed/Agreement,8100000,1.0,5,6,955000.0,Reporting,Breached,No Error
ID1250,Dealer,IFR195,GRP517,New,RM2020,2015-09-12,2015-11-15,2016-11-14,PRD007,2015-11-15,48,2019-11-18,2.58,0.49,3220000,98854.0,2009-04-25,Bill of Sale over a Motor Vehicle,24000000,0.75,2,4,805000.0,Reporting,Extended,No Error
ID1426,Commercial,IFR198,GRP511,New,RM2039,2015-09-12,2016-01-13,2017-01-12,PRD018,2016-01-13,24,2018-01-14,2.07,0.33,2270000,54480.0,2007-09-16,Transfer of Mortgage over Real Property,24800000,0.4,2,9,252222.22222222222,Conditions Subsequent,Extended,No Error
ID1328,Dealer,IFR186,GRP502,New,RM2002,2015-09-14,2015-10-29,2016-10-28,PRD003,2015-10-29,12,2016-10-29,3.11,0.35,5640000,195144.0,2002-04-13,Transfer of Mortgage over a Lease,7600000,0.75,4,7,805714.2857142857,Reporting,Extended,No Error
ID1475,Commercial,IFR107,GRP502,Existing,RM2003,2015-09-15,2015-12-15,2016-12-14,PRD011,2015-12-15,48,2019-12-18,3.18,0.27,2320000,80040.0,2008-02-25,Cash and Cash E,23900000,1.0,2,8,290000.0,Conditions Subsequent,Extended,No Error
ID1112,Commercial,IFR184,GRP517,Straight,RM2018,2015-09-16,2016-01-20,2017-01-19,PRD009,2016-01-20,48,2020-01-23,2.03,0.38,2190000,52778.99999999999,2014-11-23,Limited Guarantee and Indemnity (unsupported),14900000,0.75,6,10,219000.0,Conditions Precedent,Complied,No Error
ID1079,Commercial,IFR183,GRP514,Existing,RM2027,2015-09-17,2015-10-02,2016-10-01,PRD007,2015-10-02,24,2017-10-03,2.98,0.21,2340000,74646.0,2011-07-11,Bill of Sale over business assets,7600000,0.75,3,5,468000.0,Reporting,Breached,No Error
ID1204,Commercial,IFR130,GRP516,Existing,RM2025,2015-09-20,2015-10-08,2016-10-07,PRD019,2015-10-08,12,2016-10-08,2.49,0.13,1690000,44278.0,2006-03-12,Transfer of Mortgage over Real Property,12700000,1.0,6,6,281666.6666666667,Reporting,Breached,No Error
ID1005,Commercial,IFR133,GRP516,Existing,RM2035,2015-09-21,2015-10-13,2016-10-12,PRD018,2015-10-13,12,2016-10-13,1.92,0.29,510000,11270.999999999998,2003-12-22,Bill of Sale over a Post Office licence,19100000,0.75,3,3,170000.0,Financial,Breached,No Error
ID1007,Commercial,IFR122,GRP511,Existing,RM2027,2015-09-21,2015-11-26,2016-11-25,PRD020,2015-11-26,12,2016-11-26,1.65,0.17,680000,12375.999999999998,2009-09-26,Limited Guarantee and Indemnity (supported),17400000,0.75,4,7,97142.85714285714,Reporting,Complied,Error
ID1445,Corporate,IFR123,GRP520,Straight,RM2004,2015-09-21,2015-10-30,2016-10-29,PRD008,2015-10-30,36,2018-11-01,2.28,0.45,5050000,137865.0,2011-01-20,Bill of Sale over business assets,19800000,0.75,3,6,841666.6666666666,Reporting,Complied,No Error
ID1032,Property Development,IFR107,GRP502,Existing,RM2022,2015-09-23,2016-01-13,2017-01-12,PRD019,2016-01-13,24,2018-01-14,2.49,0.19,630000,16884.0,2008-02-25,Fixed and Floating Company Charge,24300000,1.0,1,11,57272.72727272727,Conditions Precedent,Complied,No Error
ID1300,Dealer,IFR131,GRP505,Existing,RM2008,2015-09-26,2015-10-20,2016-10-19,PRD010,2015-10-20,12,2016-10-20,2.72,0.48,350000,11200.0,2006-12-19,Mortgage over Real Property (Residential),4500000,0.8,4,3,116666.66666666667,Financial,Non Waiver,No Error
ID1126,Dealer,IFR169,GRP517,Existing,RM2005,2015-09-27,2015-12-29,2016-12-28,PRD020,2015-12-29,6,2016-06-29,1.77,0.16,6770000,130660.99999999999,2001-12-16,Mortgage over Real Property (Commercial),7300000,0.75,6,10,677000.0,Conditions Precedent,Breached,No Error
ID1361,Dealer,IFR124,GRP514,New,RM2016,2015-09-27,2016-01-31,2017-01-30,PRD003,2016-01-31,12,2017-01-31,3.07,0.32,2730000,92547.0,2011-11-11,Bill of Sale over a Post Office licence,6800000,1.0,3,7,390000.0,Reporting,Breached,No Error
ID1202,Commercial,IFR156,GRP505,Existing,RM2015,2015-09-28,2015-11-23,2016-11-22,PRD005,2015-11-23,12,2016-11-23,2.52,0.23,4430000,121825.0,2014-04-06,Ships Mortgage,3400000,0.8,4,5,886000.0,Reporting,Breached,Error
ID1256,Dealer,IFR182,GRP518,Review,RM2005,2015-09-28,2015-12-24,2016-12-23,PRD002,2015-12-24,12,2016-12-24,2.25,0.5,5420000,149050.0,2010-05-26,Tripartite Deed/Agreement,10100000,0.7,4,4,1355000.0,Financial,Complied,No Error
ID1349,Dealer,IFR159,GRP502,Existing,RM2034,2015-09-28,2015-11-30,2016-11-29,PRD018,2015-11-30,24,2017-12-01,3.34,0.38,2550000,94859.99999999999,2010-11-23,Traded Equities,6600000,0.8,5,6,425000.0,Reporting,Complied,No Error
ID1363,Commercial,IFR194,GRP511,Review,RM2032,2015-09-28,2015-12-20,2016-12-19,PRD017,2015-12-20,36,2018-12-22,2.04,0.26,4620000,106260.0,2001-12-25,Gold Deposit,20500000,1.0,1,5,924000.0,Reporting,Complied,No Error
ID1185,Dealer,IFR110,GRP505,New,RM2000,2015-09-30,2015-12-18,2016-12-17,PRD005,2015-12-18,48,2019-12-21,2.05,0.5,2670000,68085.0,2010-05-19,Transfer of Mortgage over a Lease,21800000,0.75,1,12,222500.0,Conditions Precedent,Extended,No Error
ID1127,Commercial,IFR116,GRP517,New,RM2014,2015-10-02,2016-01-17,2017-01-16,PRD009,2016-01-17,48,2020-01-20,3.32,0.45,2800000,105560.0,2002-07-12,Limited Cross Guarantee and Indemnity (supported),16700000,1.0,2,3,933333.3333333334,Financial,Complied,Error
ID1189,Commercial,IFR175,GRP500,New,RM2036,2015-10-05,2015-12-02,2016-12-01,PRD012,2015-12-02,6,2016-06-02,2.62,0.21,1920000,54336.00000000001,2002-08-30,Stock Mortgage,15300000,1.0,1,2,960000.0,Financial,Complied,No Error
ID1090,Commercial,IFR132,GRP517,Existing,RM2028,2015-10-06,2015-12-15,2016-12-14,PRD002,2015-12-15,12,2016-12-15,3.51,0.35,3810000,147065.99999999997,2013-01-26,Commercial Property,24200000,1.0,2,5,762000.0,Reporting,Complied,No Error
ID1085,Commercial,IFR117,GRP501,Existing,RM2015,2015-10-07,2015-12-29,2016-12-28,PRD009,2015-12-29,36,2018-12-31,3.34,0.42,460000,17295.999999999996,2015-11-17,Fixed and Floating Charge (Cashflow lending),19000000,0.8,1,7,65714.28571428571,Reporting,Complied,No Error
ID1487,Commercial,IFR131,GRP505,Existing,RM2020,2015-10-07,2016-01-13,2017-01-12,PRD005,2016-01-13,12,2017-01-13,2.12,0.27,6680000,159652.0,2006-12-19,General Mortgage/Lien,2800000,0.75,6,10,668000.0,Conditions Precedent,Extended,No Error
ID1021,Dealer,IFR168,GRP509,Existing,RM2039,2015-10-10,2016-01-11,2017-01-10,PRD009,2016-01-11,60,2021-01-14,1.8,0.14,5390000,104566.0,2016-07-22,Mortgage over Real Property (Commercial),22800000,0.75,1,6,898333.3333333334,Reporting,Extended,Error
ID1261,Property Development,IFR191,GRP500,New,RM2027,2015-10-10,2015-12-06,2016-12-05,PRD016,2015-12-06,12,2016-12-06,3.41,0.28,5190000,191511.0,2014-08-21,Mortgage over Real Property (Residential),4900000,0.7,5,6,865000.0,Reporting,Complied,No Error
